,,3/7/2018,,3/21/2018,,4/4/2018,,4/18/2018,,5/2/2018,,5/16/2018,,5/30/2018,,6/13/2018,,6/27/2018,,,
,,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,N2O,CO2,,
Site 1,,,,,,,,,,,,,,,,,,,,,
 N Gradient (CIG),N0,0.65,0.03,NA,NA,3.19,0.07,-0.79,0.02,2.57,0.07,-0.23,0.14,-0.23,0.11,0.98,0.09,NA,NA,,Active fertilization in Site 1 on 3/21/1018 prevented sampling.
,N25,0.44,0.02,NA,NA,0.57,0.09,-0.43,0.05,2.14,0.1,0.5,0.19,0.5,0.11,-0.41,0.11,NA,NA,,Removal of chambers for harvesting in Site 1 prevented sampling on 6/27/2018
,N50,1.62,0.02,NA,NA,3.16,0.08,1.12,0.02,0.12,0.1,0.47,0.18,-0.79,0.11,0.33,0.08,NA,NA,,
,N75,0.51,0.03,NA,NA,9.72,0.09,1.4,0.05,0.87,0.07,-0.09,0.05,0.11,0.06,-0.68,0.06,NA,NA,,
,N100,0.28,0.02,NA,NA,1.16,0.13,-0.12,0.09,-0.33,0.09,0.63,0.09,-0.54,0.06,-0.49,0.09,NA,NA,,
ODA ,Conv,3.33,0.03,NA,NA,3.05,0.13,1.03,0.12,1.67,0.15,1.01,0.09,-0.5,0.08,-0.37,0.07,NA,NA,,
,PA,-0.34,0.02,NA,NA,3.98,0.09,0.98,0.08,0.6,0.11,-0.03,0.12,-0.3,0.09,-0.59,0.08,NA,NA,,
Site 2,,,,,,,,,,,,,,,,,,,,,
 N Gradient (CIG),N0,0.39,0.03,0.58,0.04,-0.21,0.05,0.47,0.04,1.77,0.05,-1.06,0.08,0.57,0.14,-0.63,0.09,-0.61,0.08,,
,N25,-0.54,0.02,0.93,0.05,-0.63,0.04,4.86,0.09,1.76,0.04,-0.71,0.07,-2.04,0.1,-1.48,0.08,-1.42,0.08,,
,N50,-0.15,0.01,0.42,0.03,-0.22,0.03,4.7,0.04,3.91,0.05,0.69,0.14,1.67,0.18,0.43,0.1,0.41,0.1,,
,N75,1.29,0.02,2.47,0.04,1.07,0.04,8.15,0.04,3.64,0.07,0.8,0.03,-0.4,0.19,-0.45,0.07,-0.43,0.07,,
,N100,1.1,0,1.5,0.04,1.12,0.02,7.47,0.04,3.04,0.05,0.5,0.07,1.51,0.12,0.41,0.1,0.39,0.09,,
ODA ,Conv,0.29,0.02,0.68,0.03,1.53,0.05,9.22,0.03,0.57,0.02,0.02,0.08,0.71,0.16,1.09,0.1,1.05,0.09,,
,PA,0.13,0.03,1.89,0.05,0.58,0.05,13.78,0.06,1.96,0.02,0.31,0.1,0.72,0.12,0.28,0.1,0.26,0.1,,
Site 3 ,,,,,,,,,,,,,,,,,,,,,
 N Gradient (CIG),N0,-0.04,0.02,0.18,0.02,0.75,0.08,-0.43,0.02,-0.19,0.08,-0.25,0.09,-0.74,0.08,-0.9,0.09,-0.88,0.09,,
,N25,0.74,0.02,0.36,0.02,1.3,0.06,1.67,0.05,2.66,0.07,-0.47,0.08,-0.04,0.06,-0.45,0.08,-0.44,0.08,,
,N50,0.95,0.02,1.29,0.02,1.63,0.05,1.76,0.03,1.46,0.07,1.04,0.07,-0.78,0.04,0.43,0.07,0.43,0.07,,
,N75,1.01,0.02,1.12,0.02,4.89,0.06,2.66,0.01,3.89,0.04,0.48,-0.01,0.41,0.07,1.68,0.06,1.64,0.06,,
,N100,1.23,0.01,2,0.02,6.88,0.07,7.08,0.02,6.41,0.07,0.55,0.01,0.92,0.08,4.11,0.08,4.01,0.08,,
ODA ,Conv,2.34,0.03,1.44,0.01,1.87,0.03,4.33,0.04,1.55,0.05,0.55,0.03,0.21,0.07,0.33,0.07,0.33,0.07,,
,PA,0.84,0.05,0.38,0.04,0.93,0.04,1.23,0.04,1.37,0.04,-0.18,0.02,-0.56,0.06,1.44,0.06,1.41,0.06,,
Site 4 ,,,,,,,,,,,,,,,,,,,,,
 N Gradient (CIG),N0,-0.07,0.05,-0.04,0.02,-0.61,0.05,-1.21,0.05,0.34,0.09,-0.98,0.07,0.07,0.03,-0.43,0.08,-0.43,0.08,,
,N25,0.93,0.05,0.33,0.03,0.26,0.07,2.42,0.04,2.29,0.11,0.41,0.11,0.34,0.04,0.8,0.09,0.8,0.09,,
,N50,0.63,0.03,0.68,0.03,2.56,0.05,2.88,0.04,2.3,0.08,0.23,0.07,0.55,0.04,1.13,0.1,1.12,0.1,,
,N75,0.68,0.03,4.22,0.08,6.85,0.09,18.14,0.13,6.09,0.13,0.65,0.06,0.32,0.03,3.46,0.08,3.43,0.08,,
,N100,2.47,0.03,4.76,0.04,10.7,0.06,9.88,0.04,4.71,0.06,1.19,0.06,-0.09,0.02,3.13,0.08,3.11,0.08,,
ODA ,Conv,1.43,0.05,1.98,0.04,1.89,0.06,4.25,0.06,1.57,0.08,0.75,0.1,0.95,0.04,-0.25,0.07,-0.25,0.07,,
,PA,1.15,0.03,2.01,0.02,4.78,0.05,5.25,0.05,2.08,0.07,-0.26,0.09,-0.04,0.09,1.27,0.06,1.26,0.06,,
