"","date","field","treatment","TV","TC","vol_conc"
"1",2018-03-13,"1","C",30,34.25,1.14166666666667
"2",2018-03-13,"1","P",260,40.12,0.154307692307692
"3",2018-03-13,"2","C",120,457.8,3.815
"4",2018-03-13,"2","P",955,10467.2,10.9604188481675
"5",2018-03-13,"3","C",290,4537.3,15.6458620689655
"6",2018-03-13,"3","P",250,3838.5,15.354
"7",2018-03-13,"4","C",1260,7433,5.89920634920635
"8",2018-03-13,"4","P",27,545.99,20.2218518518519
"9",2018-03-27,"1","C",27,24.4,0.903703703703704
"10",2018-03-27,"1","P",905,72.75,0.0803867403314917
"11",2018-03-27,"2","C",995,2449,2.46130653266332
"12",2018-03-27,"2","P",1350,7110,5.26666666666667
"13",2018-03-27,"3","C",775,11778.5,15.198064516129
"14",2018-03-27,"3","P",515,5017.3,9.74233009708738
"15",2018-03-27,"4","C",1125,6026.75,5.35711111111111
"16",2018-03-27,"4","P",1300,22702.5,17.4634615384615
"17",2018-04-24,"1","C",20,6.1,0.305
"18",2018-04-24,"1","P",888,-8.57,-0.0096509009009009
"19",2018-04-24,"2","C",2152,1631,0.757899628252788
"20",2018-04-24,"2","P",1750,1082,0.618285714285714
"21",2018-04-24,"3","C",1200,6567.5,5.47291666666667
"22",2018-04-24,"3","P",340,568.8,1.67294117647059
"23",2018-04-24,"4","C",310,1597.2,5.15225806451613
"24",2018-04-24,"4","P",1125,15728.5,13.9808888888889
"25",2018-05-08,"1","C",37,6.34,0.171351351351351
"26",2018-05-08,"1","P",848,392,0.462264150943396
"27",2018-05-08,"2","C",2000,1816.5,0.90825
"28",2018-05-08,"2","P",832,130.77,0.157175480769231
"29",2018-05-08,"3","C",1200,9289,7.74083333333333
"30",2018-05-08,"3","P",420,729.1,1.73595238095238
"31",2018-05-08,"4","C",504,2023.98,4.01583333333333
"32",2018-05-08,"4","P",950,8822.75,9.28710526315789
"33",2018-05-22,"1","C",55,4.05,0.0736363636363636
"34",2018-05-22,"1","P",215,162,0.753488372093023
