,field,date,total_precip,max_temp_5,min_temp_5,max_temp_10,min_temp_10,avg_moist,max_moist,avg_moist_10cm,max_moist_10cm,avg_cond_5cm,avg_cond_10cm
1,1,1/2/2018,0,6.699999809,4,6.699999809,4.699999809,0.464592436,0.470695227,0.452257008,0.454270065,0.043961578,0.048364639
430,2,1/2/2018,0.200000003,4.599999905,1.299999952,4.400000095,1.200000048,0.412931778,0.417371541,0.39956629,0.403923661,0.302105977,0.309182635
1202,4,1/2/2018,0,5.300000191,4.099999905,5.099999905,4.5,0.442759935,0.4442586,0.387319138,0.389566272,0.173679107,0.178185138
2,1,1/3/2018,0,5,3.400000095,5.099999905,4.099999905,0.464745969,0.466587037,0.453206664,0.454665124,0.044631067,0.05035108
431,2,1/3/2018,0,4.699999809,3.299999952,4.400000095,3.5,0.416413633,0.41712597,0.404052775,0.404708743,0.306233771,0.310936816
1203,4,1/3/2018,0,4.900000095,3.599999905,4.900000095,3.900000095,0.442968162,0.443836153,0.390024051,0.390682518,0.174100072,0.178997981
3,1,1/4/2018,1.200000018,5.900000095,3.799999952,5.699999809,4.400000095,0.462554653,0.464760929,0.450702455,0.452479273,0.045095601,0.051367964
432,2,1/4/2018,1.400000021,5.199999809,3.700000048,4.900000095,3.799999952,0.411716951,0.415150225,0.405604865,0.412652522,0.309098096,0.309831083
1204,4,1/4/2018,3.000000045,5.5,4,5.300000191,4.300000191,0.444431985,0.453873932,0.390471818,0.395093679,0.174553759,0.179317957
4,1,1/5/2018,7.200000137,7.5,5.199999809,7.099999905,5.5,0.422568617,0.455059141,0.441745183,0.472268492,0.050784401,0.058281292
433,2,1/5/2018,7.800000146,6.800000191,5,6.199999809,4.900000095,0.411720603,0.429952055,0.426513944,0.437804878,0.332858375,0.340984016
1205,4,1/5/2018,10.40000023,7.099999905,5.300000191,6.699999809,5.199999809,0.465835311,0.4745076,0.428979934,0.449242741,0.194755657,0.19135089
5,1,1/6/2018,2.800000042,7.199999809,5,7.099999905,5.900000095,0.411587111,0.442987919,0.444967954,0.471571624,0.051955239,0.064051557
434,2,1/6/2018,1.200000018,7.199999809,5,6.400000095,5.300000191,0.416982443,0.432910174,0.425996426,0.432231903,0.332280391,0.335787682
1206,4,1/6/2018,1.000000015,7.199999809,5.300000191,7.099999905,5.800000191,0.464141511,0.465311319,0.421285897,0.422696531,0.199266429,0.192263622
6,1,1/7/2018,0,6.900000095,4.900000095,6.699999809,5.5,0.442658332,0.444047511,0.466691455,0.4698129,0.050187618,0.056773543
435,2,1/7/2018,0,6.5,4.599999905,6,4.699999809,0.424451849,0.426944286,0.422748713,0.42388621,0.325782697,0.327925712
1207,4,1/7/2018,0,6.599999905,5,6.400000095,5.300000191,0.463617594,0.464760929,0.417126918,0.418594778,0.199205645,0.189634581
7,1,1/8/2018,0.600000009,6.900000095,5.300000191,6.800000191,5.699999809,0.442092692,0.4442586,0.45460531,0.46402362,0.049663895,0.055910725
436,2,1/8/2018,1.200000018,6.699999809,5.599999905,6.300000191,5.5,0.417906675,0.424359977,0.423067106,0.427410275,0.326387539,0.325416066
1208,4,1/8/2018,1.000000015,7,5.800000191,6.699999809,5.900000095,0.464371914,0.466949314,0.415582166,0.416880101,0.19990423,0.190794328
8,1,1/9/2018,13.20000024,7.400000095,6.199999809,7.199999809,6.599999905,0.426991277,0.472268492,0.459810676,0.492981166,0.058212586,0.066789987
