,lys_num,field,plot,no3,nh4
1,1,F1,N0,NA,NA
2,2,F1,N25,NA,NA
3,3,F1,N50,NA,NA
4,4,F1,N75,NA,NA
5,5,F1,N100,NA,NA
6,6,F1,CV-1,NA,NA
7,7,F1,CV-2,NA,NA
8,8,F1,CV-3,NA,NA
9,9,F1,CV-4,NA,NA
10,10,F1,PA-1,NA,NA
11,11,F1,PA-2,NA,NA
12,12,F1,PA-3,NA,NA
13,13,F1,PA-4,NA,NA
14,14,F2,N0,0.015635292,1.084
15,15,F2,N25,1.852009493,1.353
16,16,F2,N50,0.032676997,1.136
17,17,F2,N75,0.008063041,1.248
18,18,F2,N100,10.09862091,1.456
19,19,F2,CV-1,16.06059198,1.196
20,20,F2,CV-2,14.8010635,1.62
21,21,F2,CV-3,3.889256332,1.3015
22,22,F2,CV-4,13.06415217,1.285
23,23,F2,PA-1,0,0.624
24,24,F2,PA-2,NA,NA
25,25,F2,PA-3,NA,NA
26,26,F2,PA-4,2.666812122,0.702
27,27,F3,N0,NA,NA
28,28,F3,N25,NA,NA
29,29,F3,N50,NA,NA
30,30,F3,N75,NA,NA
31,31,F3,N100,NA,NA
32,32,F3,CV-1,NA,NA
33,33,F3,CV-2,NA,NA
34,34,F3,CV-3,NA,NA
35,35,F3,CV-4,NA,NA
36,36,F3,PA-1,NA,NA
37,37,F3,PA-2,NA,NA
38,38,F3,PA-3,NA,NA
39,39,F3,PA-4,NA,NA
40,40,F4,N0,NA,NA
41,41,F4,N25,NA,NA
42,42,F4,N50,NA,NA
43,43,F4,N75,NA,NA
44,44,F4,N100,NA,NA
45,45,F4,CV-1,NA,NA
46,46,F4,CV-2,NA,NA
47,47,F4,CV-3,NA,NA
48,48,F4,CV-4,NA,NA
49,49,F4,PA-1,NA,NA
50,50,F4,PA-2,NA,NA
51,51,F4,PA-3,NA,NA
52,52,F4,PA-4,NA,NA
