"","lys_num","field","plot","a","b","c","no3","nh4"
"1",1,"F1","N0",NA,12,57,0.58486814285,1.11
"2",2,"F1","N25",NA,13,NA,1.6650877344,1.657
"3",3,"F1","N50",NA,14,NA,0,1.291
"4",4,"F1","N75",NA,15,58,5.8256798786,0.641
"5",5,"F1","N100",NA,16,59,0.06488253125,0.768
"6",6,"F1","CV-1",NA,17,NA,14.617796125,2.523
"7",7,"F1","CV-2",NA,18,60,1.66899571525,1.1895
"8",8,"F1","CV-3",NA,19,NA,1.58406122125,2.599
"9",9,"F1","CV-4",NA,20,61,15.52510635685,1.19
"10",10,"F1","PA-1",NA,21,NA,0.34231368765,1.556
"11",11,"F1","PA-2",NA,22,62,6.95785184565,1.148
"12",12,"F1","PA-3",NA,23,63,6.70190838165,1.172
"13",13,"F1","PA-4",NA,24,64,15.4085840544,1.243
"14",14,"F2","N0",1,25,65,-0.03545541515,0.718
"15",15,"F2","N25",2,26,66,0.4940152776,0.706
"16",16,"F2","N50",3,27,67,0.0014382514,0.796
"17",17,"F2","N75",4,28,68,0,0.855
"18",18,"F2","N100",5,29,69,1.40292653485,0.833
"19",19,"F2","CV-1",6,30,70,6.688073885,0.828
"20",20,"F2","CV-2",7,31,71,8.00267725765,0.836
"21",21,"F2","CV-3",8,32,72,2.315712125,0.958
"22",22,"F2","CV-4",9,NA,NA,NA,NA
"23",23,"F2","PA-1",10,33,73,0,1.068
"24",24,"F2","PA-2",NA,34,NA,0.12935498365,0.616
"25",25,"F2","PA-3",NA,NA,NA,NA,NA
"26",26,"F2","PA-4",11,35,74,2.41763953965,0.509
"27",27,"F3","N0",NA,36,76,0,0.643
"28",28,"F3","N25",NA,NA,NA,NA,NA
"29",29,"F3","N50",NA,37,77,13.13293691085,1.096
"30",30,"F3","N75",NA,38,78,0.005697319225,2.1855
"31",31,"F3","N100",NA,NA,NA,NA,NA
"32",32,"F3","CV-1",NA,39,79,3.2167066866,0.59
"33",33,"F3","CV-2",NA,40,80,49.620523464,0.546
"34",34,"F3","CV-3",NA,41,81,0.65958254885,0.494
"35",35,"F3","CV-4",NA,42,82,14.4966423304,0.449
"36",36,"F3","PA-1",NA,NA,NA,NA,NA
"37",37,"F3","PA-2",NA,43,83,2.5972096306,0.49
"38",38,"F3","PA-3",NA,44,84,16.1441226034,0.852
"39",39,"F3","PA-4",NA,45,85,0.0734109506,0.803
"40",40,"F4","N0",NA,NA,NA,NA,NA
"41",41,"F4","N25",NA,46,86,0.0014395258,1.518
"42",42,"F4","N50",NA,47,87,0.16541935485,0.7
"43",43,"F4","N75",NA,48,88,7.62591704125,0.648
"44",44,"F4","N100",NA,49,89,10.0583349954,0.545
"45",45,"F4","CV-1",NA,50,90,0,0.439
"46",46,"F4","CV-2",NA,51,91,0.0715156224,0.583
"47",47,"F4","CV-3",NA,52,NA,1.20884127485,0.626
"48",48,"F4","CV-4",NA,53,92,0.126508885,1.266
"49",49,"F4","PA-1",NA,NA,93,NA,NA
"50",50,"F4","PA-2",NA,54,94,0,0.623
"51",51,"F4","PA-3",NA,55,95,0,0.822
"52",52,"F4","PA-4",NA,56,96,NA,NA
"53",NA,NA,NA,NA,1,NA,0.01563529165,1.084
"54",NA,NA,NA,NA,2,NA,1.85200949285,1.353
"55",NA,NA,NA,NA,3,NA,0.03267699685,1.136
"56",NA,NA,NA,NA,4,NA,0.00806304124999999,1.248
"57",NA,NA,NA,NA,5,NA,10.0986209106,1.456
"58",NA,NA,NA,NA,6,NA,16.06059197965,1.196
"59",NA,NA,NA,NA,7,NA,14.8010635016,1.62
"60",NA,NA,NA,NA,8,NA,3.889256331925,1.3015
"61",NA,NA,NA,NA,9,NA,13.064152165,1.285
"62",NA,NA,NA,NA,10,NA,0,0.624
"63",NA,NA,NA,NA,11,NA,2.6668121216,0.702
