"","compound","field","treatment","date","month","mean_conc"
"1","nh3","1","0",2018-07-03,"Jul",NA
"2","nh3","1","25",2018-07-03,"Jul",NA
"3","nh3","1","50",2018-07-03,"Jul",NA
"4","nh3","1","75",2018-07-03,"Jul",NA
"5","nh3","1","100",2018-07-03,"Jul",NA
"6","nh3","1","C",2018-07-03,"Jul",0.62
"7","nh3","1","P",2018-07-03,"Jul",NA
"8","nh3","2","0",2018-07-03,"Jul",NA
"9","nh3","2","25",2018-07-03,"Jul",NA
"10","nh3","2","50",2018-07-03,"Jul",NA
"11","nh3","2","75",2018-07-03,"Jul",NA
"12","nh3","2","100",2018-07-03,"Jul",NA
"13","nh3","2","C",2018-07-03,"Jul",NA
"14","nh3","2","P",2018-07-03,"Jul",NA
"15","nh3","3","0",2018-07-03,"Jul",NA
"16","nh3","3","25",2018-07-03,"Jul",NA
"17","nh3","3","50",2018-07-03,"Jul",0.34
"18","nh3","3","75",2018-07-03,"Jul",NA
"19","nh3","3","100",2018-07-03,"Jul",NA
"20","nh3","3","C",2018-07-03,"Jul",0.53
"21","nh3","3","P",2018-07-03,"Jul",0.3
"22","nh3","4","0",2018-07-03,"Jul",0.44
"23","nh3","4","25",2018-07-03,"Jul",NA
"24","nh3","4","50",2018-07-03,"Jul",0.74
"25","nh3","4","75",2018-07-03,"Jul",NA
"26","nh3","4","100",2018-07-03,"Jul",NA
"27","nh3","4","C",2018-07-03,"Jul",0.486666666666667
"28","nh3","4","P",2018-07-03,"Jul",0.195
"29","no3","1","0",2018-07-03,"Jul",NA
"30","no3","1","25",2018-07-03,"Jul",NA
"31","no3","1","50",2018-07-03,"Jul",NA
"32","no3","1","75",2018-07-03,"Jul",NA
"33","no3","1","100",2018-07-03,"Jul",NA
"34","no3","1","C",2018-07-03,"Jul",0.55
"35","no3","1","P",2018-07-03,"Jul",NA
"36","no3","2","0",2018-07-03,"Jul",NA
"37","no3","2","25",2018-07-03,"Jul",NA
"38","no3","2","50",2018-07-03,"Jul",NA
"39","no3","2","75",2018-07-03,"Jul",NA
"40","no3","2","100",2018-07-03,"Jul",NA
"41","no3","2","C",2018-07-03,"Jul",NA
"42","no3","2","P",2018-07-03,"Jul",NA
"43","no3","3","0",2018-07-03,"Jul",NA
"44","no3","3","25",2018-07-03,"Jul",NA
"45","no3","3","50",2018-07-03,"Jul",1.66
"46","no3","3","75",2018-07-03,"Jul",NA
"47","no3","3","100",2018-07-03,"Jul",NA
"48","no3","3","C",2018-07-03,"Jul",9.39
"49","no3","3","P",2018-07-03,"Jul",0.25
"50","no3","4","0",2018-07-03,"Jul",0.01
"51","no3","4","25",2018-07-03,"Jul",NA
"52","no3","4","50",2018-07-03,"Jul",0.19
"53","no3","4","75",2018-07-03,"Jul",NA
"54","no3","4","100",2018-07-03,"Jul",NA
"55","no3","4","C",2018-07-03,"Jul",6.89333333333333
"56","no3","4","P",2018-07-03,"Jul",2.635
