"","compound","field","treatment","date","month","mean_conc"
"1","nh3","1","0",2018-03-13,"Mar",NA
"2","nh3","1","0",2018-03-27,"Mar",2.18
"3","nh3","1","0",2018-04-10,"Apr",NA
"4","nh3","1","0",2018-04-24,"Apr",0.13
"5","nh3","1","0",2018-05-08,"May",2.94
"6","nh3","1","0",2018-05-22,"May",2.75
"7","nh3","1","0",2018-06-05,"Jun",NA
"8","nh3","1","0",2018-06-19,"Jun",NA
"9","nh3","1","25",2018-03-13,"Mar",0.08
"10","nh3","1","25",2018-03-27,"Mar",NA
"11","nh3","1","25",2018-04-10,"Apr",4
"12","nh3","1","25",2018-04-24,"Apr",NA
"13","nh3","1","25",2018-05-08,"May",2.38
"14","nh3","1","25",2018-05-22,"May",1.9
"15","nh3","1","25",2018-06-05,"Jun",NA
"16","nh3","1","25",2018-06-19,"Jun",NA
"17","nh3","1","50",2018-03-13,"Mar",0.06
"18","nh3","1","50",2018-03-27,"Mar",NA
"19","nh3","1","50",2018-04-10,"Apr",0.25
"20","nh3","1","50",2018-04-24,"Apr",0.14
"21","nh3","1","50",2018-05-08,"May",2.75
"22","nh3","1","50",2018-05-22,"May",5.35
"23","nh3","1","50",2018-06-05,"Jun",NA
"24","nh3","1","50",2018-06-19,"Jun",NA
"25","nh3","1","75",2018-03-13,"Mar",0.07
"26","nh3","1","75",2018-03-27,"Mar",1.6
"27","nh3","1","75",2018-04-10,"Apr",0.29
"28","nh3","1","75",2018-04-24,"Apr",0.09
"29","nh3","1","75",2018-05-08,"May",2.6
"30","nh3","1","75",2018-05-22,"May",1.49
"31","nh3","1","75",2018-06-05,"Jun",0.97
"32","nh3","1","75",2018-06-19,"Jun",1.07
"33","nh3","1","100",2018-03-13,"Mar",0.05
"34","nh3","1","100",2018-03-27,"Mar",1.24
"35","nh3","1","100",2018-04-10,"Apr",0.28
"36","nh3","1","100",2018-04-24,"Apr",NA
"37","nh3","1","100",2018-05-08,"May",NA
"38","nh3","1","100",2018-05-22,"May",0.7
"39","nh3","1","100",2018-06-05,"Jun",0.99
"40","nh3","1","100",2018-06-19,"Jun",NA
"41","nh3","1","C",2018-03-13,"Mar",0.685
"42","nh3","1","C",2018-03-27,"Mar",1.64
"43","nh3","1","C",2018-04-10,"Apr",0.4
"44","nh3","1","C",2018-04-24,"Apr",0.13
"45","nh3","1","C",2018-05-08,"May",0.07
"46","nh3","1","C",2018-05-22,"May",1.56
"47","nh3","1","C",2018-06-05,"Jun",0.7175
"48","nh3","1","C",2018-06-19,"Jun",0.77
"49","nh3","1","P",2018-03-13,"Mar",0.253333333333333
"50","nh3","1","P",2018-03-27,"Mar",2.445
"51","nh3","1","P",2018-04-10,"Apr",0.31
"52","nh3","1","P",2018-04-24,"Apr",0.3
"53","nh3","1","P",2018-05-08,"May",2.39
"54","nh3","1","P",2018-05-22,"May",0.965
"55","nh3","1","P",2018-06-05,"Jun",0.73
"56","nh3","1","P",2018-06-19,"Jun",NA
"57","nh3","2","0",2018-03-13,"Mar",NA
"58","nh3","2","0",2018-03-27,"Mar",NA
"59","nh3","2","0",2018-04-10,"Apr",0.07
"60","nh3","2","0",2018-04-24,"Apr",0.47
"61","nh3","2","0",2018-05-08,"May",2.62
"62","nh3","2","0",2018-05-22,"May",1.76
"63","nh3","2","0",2018-06-05,"Jun",0.61
"64","nh3","2","0",2018-06-19,"Jun",NA
"65","nh3","2","25",2018-03-13,"Mar",NA
"66","nh3","2","25",2018-03-27,"Mar",NA
"67","nh3","2","25",2018-04-10,"Apr",0.11
"68","nh3","2","25",2018-04-24,"Apr",0.11
"69","nh3","2","25",2018-05-08,"May",1.84
"70","nh3","2","25",2018-05-22,"May",1.7
"71","nh3","2","25",2018-06-05,"Jun",0.44
"72","nh3","2","25",2018-06-19,"Jun",NA
"73","nh3","2","50",2018-03-13,"Mar",0.53
"74","nh3","2","50",2018-03-27,"Mar",1.39
"75","nh3","2","50",2018-04-10,"Apr",0.18
"76","nh3","2","50",2018-04-24,"Apr",0.07
"77","nh3","2","50",2018-05-08,"May",1.76
"78","nh3","2","50",2018-05-22,"May",1.66
"79","nh3","2","50",2018-06-05,"Jun",0.63
"80","nh3","2","50",2018-06-19,"Jun",NA
"81","nh3","2","75",2018-03-13,"Mar",0.13
"82","nh3","2","75",2018-03-27,"Mar",1.13
"83","nh3","2","75",2018-04-10,"Apr",0.16
"84","nh3","2","75",2018-04-24,"Apr",0.06
"85","nh3","2","75",2018-05-08,"May",1.39
"86","nh3","2","75",2018-05-22,"May",1.62
"87","nh3","2","75",2018-06-05,"Jun",0.76
"88","nh3","2","75",2018-06-19,"Jun",1.15
"89","nh3","2","100",2018-03-13,"Mar",NA
"90","nh3","2","100",2018-03-27,"Mar",1.12
"91","nh3","2","100",2018-04-10,"Apr",0.14
"92","nh3","2","100",2018-04-24,"Apr",0.12
"93","nh3","2","100",2018-05-08,"May",1.55
"94","nh3","2","100",2018-05-22,"May",1.59
"95","nh3","2","100",2018-06-05,"Jun",NA
"96","nh3","2","100",2018-06-19,"Jun",NA
"97","nh3","2","C",2018-03-13,"Mar",0.246666666666667
"98","nh3","2","C",2018-03-27,"Mar",1.36
"99","nh3","2","C",2018-04-10,"Apr",0.203333333333333
"100","nh3","2","C",2018-04-24,"Apr",0.226666666666667
"101","nh3","2","C",2018-05-08,"May",1.44666666666667
"102","nh3","2","C",2018-05-22,"May",1.735
"103","nh3","2","C",2018-06-05,"Jun",0.5275
"104","nh3","2","C",2018-06-19,"Jun",0.93
"105","nh3","2","P",2018-03-13,"Mar",0.025
"106","nh3","2","P",2018-03-27,"Mar",3.4675
"107","nh3","2","P",2018-04-10,"Apr",0.2375
"108","nh3","2","P",2018-04-24,"Apr",0.27
"109","nh3","2","P",2018-05-08,"May",1.815
"110","nh3","2","P",2018-05-22,"May",1.48
"111","nh3","2","P",2018-06-05,"Jun",0.903333333333333
"112","nh3","2","P",2018-06-19,"Jun",1.13
"113","nh3","3","0",2018-03-13,"Mar",0.06
"114","nh3","3","0",2018-03-27,"Mar",0.96
"115","nh3","3","0",2018-04-10,"Apr",0.13
"116","nh3","3","0",2018-04-24,"Apr",NA
"117","nh3","3","0",2018-05-08,"May",NA
"118","nh3","3","0",2018-05-22,"May",1.22
"119","nh3","3","0",2018-06-05,"Jun",NA
"120","nh3","3","0",2018-06-19,"Jun",0.71
"121","nh3","3","25",2018-03-13,"Mar",0.18
"122","nh3","3","25",2018-03-27,"Mar",1.4
"123","nh3","3","25",2018-04-10,"Apr",0.18
"124","nh3","3","25",2018-04-24,"Apr",0.19
"125","nh3","3","25",2018-05-08,"May",3.14
"126","nh3","3","25",2018-05-22,"May",0
"127","nh3","3","25",2018-06-05,"Jun",NA
"128","nh3","3","25",2018-06-19,"Jun",NA
"129","nh3","3","50",2018-03-13,"Mar",0.05
"130","nh3","3","50",2018-03-27,"Mar",1.95
"131","nh3","3","50",2018-04-10,"Apr",0.25
"132","nh3","3","50",2018-04-24,"Apr",0.26
"133","nh3","3","50",2018-05-08,"May",2.34
"134","nh3","3","50",2018-05-22,"May",1.18
"135","nh3","3","50",2018-06-05,"Jun",0.52
"136","nh3","3","50",2018-06-19,"Jun",0.82
"137","nh3","3","75",2018-03-13,"Mar",NA
"138","nh3","3","75",2018-03-27,"Mar",NA
"139","nh3","3","75",2018-04-10,"Apr",NA
"140","nh3","3","75",2018-04-24,"Apr",NA
"141","nh3","3","75",2018-05-08,"May",NA
"142","nh3","3","75",2018-05-22,"May",1.15
"143","nh3","3","75",2018-06-05,"Jun",NA
"144","nh3","3","75",2018-06-19,"Jun",NA
"145","nh3","3","100",2018-03-13,"Mar",NA
"146","nh3","3","100",2018-03-27,"Mar",1.09
"147","nh3","3","100",2018-04-10,"Apr",0.28
"148","nh3","3","100",2018-04-24,"Apr",0
"149","nh3","3","100",2018-05-08,"May",1.92
"150","nh3","3","100",2018-05-22,"May",1.12
"151","nh3","3","100",2018-06-05,"Jun",NA
"152","nh3","3","100",2018-06-19,"Jun",NA
"153","nh3","3","C",2018-03-13,"Mar",0.113333333333333
"154","nh3","3","C",2018-03-27,"Mar",1.26
"155","nh3","3","C",2018-04-10,"Apr",0.3575
"156","nh3","3","C",2018-04-24,"Apr",0.1225
"157","nh3","3","C",2018-05-08,"May",1.0575
"158","nh3","3","C",2018-05-22,"May",1.305
"159","nh3","3","C",2018-06-05,"Jun",0.455
"160","nh3","3","C",2018-06-19,"Jun",0.99
"161","nh3","3","P",2018-03-13,"Mar",0.0733333333333333
"162","nh3","3","P",2018-03-27,"Mar",1.705
"163","nh3","3","P",2018-04-10,"Apr",0.0975
"164","nh3","3","P",2018-04-24,"Apr",0.2325
"165","nh3","3","P",2018-05-08,"May",1.5675
"166","nh3","3","P",2018-05-22,"May",1.015
"167","nh3","3","P",2018-06-05,"Jun",0.72
"168","nh3","3","P",2018-06-19,"Jun",0.48
"169","nh3","4","0",2018-03-13,"Mar",0.06
"170","nh3","4","0",2018-03-27,"Mar",4.17
"171","nh3","4","0",2018-04-10,"Apr",0.17
"172","nh3","4","0",2018-04-24,"Apr",0.22
"173","nh3","4","0",2018-05-08,"May",1.09
