Site,Date,Cover,Crop,Growth,,,
1,6/21/2019,tall fescue,HAYP,grass harvest,,,
2,7/1/2019,tall fescue,HAYP,grass harvest,,,
3,7/1/2019,tall fescue,HAYP,grass harvest,,,
4,7/1/2019,tall fescue,HAYP,grass harvest,,,
1,5/16/2019,tall fescue,HAYP,peak,,,
2,5/16/2019,tall fescue,HAYP,peak,,,
3,5/16/2019,tall fescue,HAYP,peak,,,
4,5/16/2019,tall fescue,HAYP,peak,,,
1,1/1/2019,tall fescue,HAYP,emergence,,,
2,1/1/2019,tall fescue,HAYP,emergence,,,
3,1/1/2019,tall fescue,HAYP,emergence,,,
4,1/1/2019,tall fescue,HAYP,emergence,,,
1,6/25/2018,tall fescue,HAYP,grass harvest,,,2
2,7/23/2018,tall fescue,HAYP,grass harvest,,,
3,7/23/2018,tall fescue,HAYP,grass harvest,,,
4,7/23/2018,tall fescue,HAYP,grass harvest,,,
1,5/16/2018,tall fescue,HAYP,peak,,,
2,5/16/2018,tall fescue,HAYP,peak,,,
3,5/16/2018,tall fescue,HAYP,peak,,,
4,5/16/2018,tall fescue,HAYP,peak,,,
1,1/1/2018,tall fescue,HAYP,emergence,,,
2,1/1/2018,tall fescue,HAYP,emergence,,,
3,1/1/2018,tall fescue,HAYP,emergence,,,
4,1/1/2018,tall fescue,HAYP,emergence,,,
