                         CRVO - ET SUMMARY - 2019 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 
 02/16 0.04  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/17 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/18 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/19 0.02  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/20 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/21 0.06  --   --   --   --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/22 0.04  --   --   --   --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/23 0.01  --   --   --   --   --  0.00  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/24 0.02  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/25 0.01 0.00 0.00  --  0.00  --  0.00  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/26 0.05 0.01 0.01  --  0.02  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/27 0.02 0.00 0.00  --  0.01  --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/28 0.02 0.00 0.00  --  0.01  --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 03/01 0.06 0.01 0.01  --  0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/02 0.12 0.02 0.02  --  0.04  --  0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/03 0.16 0.03 0.03  --  0.06  --  0.09  --   --   --   --   --   --   --   --   --   --   --   --   --  0.03  --   --   --   --   --   --   -- 
 03/04 0.12 0.03 0.03  --  0.04  --  0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/05 0.09 0.02 0.02 0.01 0.03  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/06 0.03 0.01 0.01 0.00 0.01  --  0.02 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/07 0.05 0.02 0.02 0.01 0.02  --  0.03 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/08 0.03 0.01 0.01 0.01 0.01  --  0.02 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/09 0.05 0.02 0.02 0.01 0.02  --  0.03 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/10 0.14 0.06 0.06 0.03 0.07  --  0.10 0.03  --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.02  --   --  0.03  --   --  0.03
 03/11 0.11 0.05 0.05 0.03 0.05  --  0.08 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.02  --   --  0.02  --   --  0.02
 03/12 0.08 0.04 0.04 0.03 0.04  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --  0.02  --   --  0.02
 03/13 0.07 0.04 0.04 0.03 0.04  --  0.05 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --  0.02  --   --  0.02
 03/14 0.07 0.04 0.04 0.03 0.04  --  0.05 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --  0.02  --   --  0.02
 03/15 0.09 0.05 0.05 0.04 0.05 0.02 0.07 0.02 0.01  --   --   --   --   --   --   --  0.02  --   --   --  0.03 0.01  --   --  0.02  --   --  0.02
 03/16 0.09 0.05 0.05 0.05 0.06 0.02 0.07 0.02 0.01  --   --   --   --   --   --   --  0.02  --   --   --  0.03 0.02  --   --  0.02  --   --  0.02
 03/17 0.19 0.12 0.12 0.10 0.12 0.04 0.16 0.05 0.03  --   --   --   --   --   --   --  0.04  --   --   --  0.06 0.03  --   --  0.04  --   --  0.05
 03/18 0.38 0.24 0.24 0.21 0.25 0.08 0.32 0.10 0.06  --   --   --   --   --   --   --  0.08  --   --   --  0.14 0.07  --   --  0.09  --   --  0.10
 03/19 0.37 0.24 0.24 0.22 0.25 0.08 0.32 0.10 0.06  --   --   --   --   --   --   --  0.07  --   --   --  0.14 0.07  --   --  0.09  --   --  0.10
 03/20 0.20 0.14 0.14 0.12 0.14 0.05 0.17 0.06 0.03  --   --   --   --   --   --   --  0.04  --   --   --  0.08 0.04  --   --  0.05  --   --  0.06
 03/21 0.05 0.03 0.03 0.03 0.04 0.01 0.04 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.01  --   --  0.01
 03/22 0.03 0.02 0.02 0.02 0.02 0.01 0.03 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.01 0.01  --   --  0.01  --   --  0.01
 03/23 0.06 0.04 0.04 0.04 0.05 0.02 0.06 0.02 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.03 0.01  --   --  0.01  --   --  0.02
 03/24 0.10 0.07 0.07 0.07 0.08 0.03 0.09 0.04 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.05 0.02  --   --  0.02  --   --  0.03
 03/25 0.06 0.05 0.05 0.04 0.05 0.02 0.06 0.03 0.01 0.02  --   --   --   --   --   --  0.01  --   --   --  0.03 0.01 0.01  --  0.02  --   --  0.02
 03/26 0.10 0.08 0.08 0.07 0.08 0.03 0.09 0.05 0.02 0.03  --   --   --   --   --   --  0.02  --   --   --  0.06 0.02 0.02  --  0.03  --   --  0.03
 03/27 0.07 0.06 0.06 0.05 0.06 0.02 0.07 0.04 0.02 0.02  --   --   --   --   --   --  0.02  --   --   --  0.04 0.02 0.01  --  0.02  --   --  0.02
 03/28 0.11 0.09 0.09 0.08 0.09 0.04 0.11 0.06 0.03 0.03  --   --   --   --   --   --  0.03  --   --   --  0.07 0.03 0.02  --  0.03  --   --  0.04
 03/29 0.10 0.08 0.08 0.08 0.09 0.04 0.10 0.06 0.02 0.03  --   --   --   --   --   --  0.03  --   --   --  0.06 0.03 0.02  --  0.03  --   --  0.04
 03/30 0.11 0.09 0.09 0.08 0.10 0.05 0.11 0.07 0.03 0.03  --   --   --   --   --   --  0.03  --   --   --  0.07 0.03 0.02  --  0.03  --   --  0.04
 03/31 0.11 0.10 0.09 0.09 0.10 0.05 0.11 0.07 0.03 0.03  --   --   --   --   --   --  0.03  --   --   --  0.08 0.03 0.02  --  0.03  --   --  0.04
 04/01 0.05 0.04 0.04 0.04 0.04 0.02 0.05 0.03 0.01 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.01  --   --  0.02
 04/02 0.05 0.05 0.04 0.04 0.05 0.03 0.05 0.04 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.01  --   --  0.02
 04/03 0.08 0.07 0.07 0.06 0.07 0.04 0.08 0.06 0.03 0.02  --   --  0.02  --   --  0.01 0.03  --   --   --  0.06 0.03 0.02  --  0.02  --   --  0.04
 04/04 0.06 0.06 0.05 0.05 0.06 0.04 0.06 0.05 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.05 0.02 0.01  --  0.02  --   --  0.03
 04/05 0.07 0.07 0.06 0.06 0.07 0.04 0.07 0.06 0.02 0.02  --   --  0.02  --   --  0.01 0.03  --   --   --  0.06 0.02 0.02  --  0.02  --   --  0.03
 04/06 0.04 0.04 0.03 0.03 0.04 0.03 0.04 0.03 0.01 0.01  --   --  0.01  --   --  0.01 0.02  --   --   --  0.03 0.01 0.01  --  0.01  --   --  0.02
 04/07 0.02 0.02 0.02 0.02 0.02 0.01 0.02 0.02 0.01 0.01  --   --  0.01  --   --  0.00 0.01  --   --   --  0.02 0.01 0.01  --  0.01  --   --  0.01
 04/08 0.04 0.04 0.03 0.03 0.04 0.03 0.04 0.03 0.02 0.01  --   --  0.01  --   --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.01  --   --  0.02
 04/09 0.12 0.12 0.10 0.10 0.11 0.09 0.12 0.10 0.05 0.04  --   --  0.04  --   --  0.02 0.06  --   --   --  0.11 0.05 0.03  --  0.04  --   --  0.07
 04/10 0.06 0.06 0.05 0.05 0.06 0.05 0.06 0.05 0.03 0.02 0.02  --  0.02  --   --  0.01 0.03  --   --   --  0.05 0.03 0.02  --  0.02  --   --  0.04
 04/11 0.05 0.05 0.04 0.04 0.05 0.04 0.05 0.04 0.02 0.02 0.02  --  0.02  --   --  0.01 0.03  --   --   --  0.05 0.02 0.01  --  0.02  --   --  0.03
 04/12 0.10 0.10 0.09 0.08 0.10 0.09 0.10 0.09 0.05 0.04 0.03  --  0.03  --   --  0.02 0.05  --   --   --  0.09 0.05 0.03  --  0.03  --   --  0.06
 04/13 0.03 0.03 0.03 0.02 0.03 0.03 0.03 0.03 0.02 0.01 0.01  --  0.01  --   --  0.01 0.02  --   --   --  0.03 0.01 0.01  --  0.01  --   --  0.02
 04/14 0.08 0.08 0.07 0.06 0.08 0.08 0.08 0.07 0.04 0.03 0.02  --  0.02  --   --  0.02 0.05  --   --   --  0.08 0.04 0.02  --  0.03  --   --  0.06
 04/15 0.04 0.04 0.03 0.03 0.04 0.04 0.04 0.04 0.02 0.02 0.01  --  0.01 0.01  --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.01 0.01 0.01 0.03
 04/16 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.10 0.06 0.04 0.03  --  0.03 0.03  --  0.03 0.07  --   --   --  0.10 0.06 0.04  --  0.04 0.02 0.02 0.08
 04/17 0.13 0.13 0.11 0.10 0.13 0.13 0.13 0.12 0.08 0.05 0.04  --  0.04 0.04  --  0.03 0.08  --   --   --  0.12 0.07 0.05  --  0.04 0.02 0.02 0.10
 04/18 0.16 0.16 0.14 0.13 0.16 0.16 0.16 0.15 0.10 0.07 0.05  --  0.05 0.05  --  0.04 0.11  --   --   --  0.15 0.09 0.06  --  0.06 0.03 0.02 0.13
 04/19 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.06 0.04 0.03  --  0.03 0.03  --  0.02 0.06  --   --   --  0.09 0.05 0.03  --  0.03 0.02 0.01 0.07
 04/20 0.10 0.10 0.09 0.08 0.10 0.10 0.10 0.10 0.07 0.04 0.03  --  0.03 0.03  --  0.03 0.07 0.02 0.02 0.02 0.10 0.06 0.04  --  0.04 0.02 0.02 0.08
 04/21 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.07 0.05 0.04  --  0.04 0.03  --  0.03 0.08 0.02 0.02 0.02 0.10 0.07 0.05  --  0.04 0.03 0.02 0.09
 04/22 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.08 0.05 0.04  --  0.04 0.03  --  0.03 0.08 0.02 0.02 0.02 0.10 0.07 0.05  --  0.04 0.03 0.02 0.09
 04/23 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.12 0.09 0.06 0.04  --  0.04 0.04  --  0.04 0.09 0.02 0.03 0.03 0.11 0.08 0.05  --  0.05 0.03 0.02 0.10
 04/24 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.16 0.11 0.08  --  0.07 0.07  --  0.08 0.17 0.04 0.05 0.06 0.21 0.14 0.10  --  0.09 0.06 0.04 0.19
