Site,Date,probe,soil_moisture,temp_C
L001,12/29/14 13:46,5TM Moisture/Temp,0.395 m³/m³,10.7 °C
L001,1/5/15 14:43,5TM Moisture/Temp,0.395 m³/m³,9.1 °C
L001,1/12/15 12:39,5TM Moisture/Temp,0.398 m³/m³,9.0 °C
L001,1/20/15 13:28,5TM Moisture/Temp,0.408 m³/m³,9.1 °C
L001,1/26/15 11:46,5TM Moisture/Temp,0.409 m³/m³,9.2 °C
L001,2/2/15 11:56,5TM Moisture/Temp,0.410 m³/m³,9.5 °C
L001,2/10/15 13:23,5TM Moisture/Temp,0.417 m³/m³,10.1 °C
L001,2/17/15 11:26,5TM Moisture/Temp,0.415 m³/m³,10.3 °C
L001,2/23/15 12:04,5TM Moisture/Temp,0.414 m³/m³,10.2 °C
L001,3/2/15 11:50,5TM Moisture/Temp,0.412 m³/m³,9.9 °C
L001,3/9/15 12:20,5TM Moisture/Temp,0.412 m³/m³,9.8 °C
L001,3/16/15 11:44,5TM Moisture/Temp,0.420 m³/m³,10.7 °C
L001,3/23/15 11:23,5TM Moisture/Temp,0.426 m³/m³,11.2 °C
L001,3/30/15 11:04,5TM Moisture/Temp,0.421 m³/m³,11.8 °C
L001,4/6/15 12:06,5TM Moisture/Temp,0.421 m³/m³,11.9 °C
L001,4/13/15 12:32,5TM Moisture/Temp,0.420 m³/m³,11.8 °C
L001,4/20/15 11:05,5TM Moisture/Temp,0.419 m³/m³,12.2 °C
L001,4/27/15 9:14,5TM Moisture/Temp,0.420 m³/m³,13.1 °C
L001,5/4/15 11:28,5TM Moisture/Temp,0.419 m³/m³,14.0 °C
L001,5/11/15 11:13,5TM Moisture/Temp,0.421 m³/m³,15.1 °C
L001,5/18/15 11:07,5TM Moisture/Temp,0.418 m³/m³,15.4 °C
L001,5/26/15 10:21,5TM Moisture/Temp,0.418 m³/m³,16.3 °C
L001,6/8/15 11:24,5TM Moisture/Temp,0.423 m³/m³,18.4 °C
L001,6/15/15 12:52,5TM Moisture/Temp,0.425 m³/m³,20.3 °C
L001,6/22/15 10:37,5TM Moisture/Temp,0.427 m³/m³,21.2 °C
L001,6/29/15 10:31,5TM Moisture/Temp,0.429 m³/m³,22.4 °C
L001,7/6/15 10:36,5TM Moisture/Temp,0.431 m³/m³,23.7 °C
L001,7/13/15 10:42,5TM Moisture/Temp,0.429 m³/m³,24.1 °C
L001,7/16/15 9:12,5TM Moisture/Temp,0.428 m³/m³,24.0 °C
L001,7/27/15 9:22,5TM Moisture/Temp,0.422 m³/m³,24.6 °C
L001,8/3/15 10:11,5TM Moisture/Temp,0.416 m³/m³,24.9 °C
L001,8/10/15 10:33,5TM Moisture/Temp,0.411 m³/m³,24.9 °C
L001,8/17/15 10:22,5TM Moisture/Temp,0.400 m³/m³,24.7 °C
L001,8/24/15 9:50,5TM Moisture/Temp,0.379 m³/m³,24.7 °C
L001,8/31/15 10:00,5TM Moisture/Temp,0.375 m³/m³,24.2 °C
L001,9/8/15 10:55,5TM Moisture/Temp,0.370 m³/m³,22.6 °C
L001,9/14/15 10:05,5TM Moisture/Temp,0.365 m³/m³,22.5 °C
L001,9/21/15 8:09,5TM Moisture/Temp,0.363 m³/m³,21.6 °C
L001,9/28/15 11:02,5TM Moisture/Temp,0.359 m³/m³,21.1 °C
L001,10/5/15 12:52,5TM Moisture/Temp,0.352 m³/m³,20.5 °C
L001,10/13/15 13:15,5TM Moisture/Temp,0.344 m³/m³,20.0 °C
L001,10/19/15 11:35,5TM Moisture/Temp,0.340 m³/m³,19.2 °C
L001,10/26/15 11:04,5TM Moisture/Temp,0.340 m³/m³,18.1 °C
L001,11/3/15 13:52,5TM Moisture/Temp,0.364 m³/m³,17.1 °C
L001,11/9/15 12:15,5TM Moisture/Temp,0.355 m³/m³,15.8 °C
L001,11/13/15 11:41,5TM Moisture/Temp,0.352 m³/m³,15.0 °C
L001,11/28/15 13:52,5TM Moisture/Temp,0.361 m³/m³,12.3 °C
L001,12/7/15 13:16,5TM Moisture/Temp,0.392 m³/m³,10.3 °C
L001,12/14/15 14:10,5TM Moisture/Temp,0.395 m³/m³,10.8 °C
L001,12/21/15 13:05,5TM Moisture/Temp,0.400 m³/m³,9.9 °C
L001,12/28/15 12:01,5TM Moisture/Temp,0.407 m³/m³,9.2 °C
L001,1/5/16 16:54,5TM Moisture/Temp,0.406 m³/m³,7.9 °C
L001,1/11/16 12:50,5TM Moisture/Temp,0.411 m³/m³,7.5 °C
L001,1/19/16 12:32,5TM Moisture/Temp,0.421 m³/m³,7.8 °C
L001,1/25/16 11:38,5TM Moisture/Temp,0.419 m³/m³,8.3 °C
L001,2/1/16 12:20,5TM Moisture/Temp,0.420 m³/m³,9.0 °C
L001,2/8/16 14:00,5TM Moisture/Temp,0.421 m³/m³,8.7 °C
L001,2/16/16 12:28,5TM Moisture/Temp,0.425 m³/m³,9.3 °C
L001,2/22/16 3:09,5TM Moisture/Temp,0.426 m³/m³,9.6 °C
L001,2/29/16 2:55,5TM Moisture/Temp,0.424 m³/m³,9.7 °C
L001,3/7/16 4:08,5TM Moisture/Temp,0.432 m³/m³,10.0 °C
L001,3/14/16 4:12,5TM Moisture/Temp,0.434 m³/m³,8.5 °C
L001,3/21/16 2:29,5TM Moisture/Temp,0.434 m³/m³,10.0 °C
L001,3/28/16 12:05,5TM Moisture/Temp,0.432 m³/m³,10.6 °C
L001,4/4/16 12:31,5TM Moisture/Temp,0.430 m³/m³,11.4 °C
L001,4/11/16 11:40,5TM Moisture/Temp,0.429 m³/m³,12.5 °C
L001,4/18/16 11:14,5TM Moisture/Temp,0.433 m³/m³,12.8 °C
L001,5/2/16 12:27,5TM Moisture/Temp,0.435 m³/m³,14.1 °C
L001,5/9/16 11:21,5TM Moisture/Temp,0.435 m³/m³,15.4 °C
L001,5/16/16 10:58,5TM Moisture/Temp,0.441 m³/m³,17.0 °C
L001,5/23/16 11:03,5TM Moisture/Temp,0.437 m³/m³,16.8 °C
L001,5/31/16 13:38,5TM Moisture/Temp,0.420 m³/m³,17.1 °C
L001,6/6/16 12:26,5TM Moisture/Temp,0.413 m³/m³,18.6 °C
L001,6/13/16 1:05,5TM Moisture/Temp,0.410 m³/m³,19.9 °C
L001,6/20/16 0:06,5TM Moisture/Temp,0.407 m³/m³,19.4 °C
L001,6/27/16 1:24,5TM Moisture/Temp,0.402 m³/m³,20.0 °C
L001,7/4/16 23:47,5TM Moisture/Temp,0.398 m³/m³,21.7 °C
