PRISM Time Series Data
Locations: 4
Climate variable: ppt
Spatial resolution: 4km
Period: 2018-01-01 - 2018-06-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Mar-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm)
1,-123.0026,44.5192,96,2018-01-01,0.00
1,-123.0026,44.5192,96,2018-01-02,0.00
1,-123.0026,44.5192,96,2018-01-03,0.00
1,-123.0026,44.5192,96,2018-01-04,0.00
1,-123.0026,44.5192,96,2018-01-05,6.66
1,-123.0026,44.5192,96,2018-01-06,7.22
1,-123.0026,44.5192,96,2018-01-07,0.02
1,-123.0026,44.5192,96,2018-01-08,0.33
1,-123.0026,44.5192,96,2018-01-09,14.45
1,-123.0026,44.5192,96,2018-01-10,5.28
1,-123.0026,44.5192,96,2018-01-11,4.66
1,-123.0026,44.5192,96,2018-01-12,11.94
1,-123.0026,44.5192,96,2018-01-13,0.28
1,-123.0026,44.5192,96,2018-01-14,0.00
1,-123.0026,44.5192,96,2018-01-15,0.00
1,-123.0026,44.5192,96,2018-01-16,4.27
1,-123.0026,44.5192,96,2018-01-17,0.00
1,-123.0026,44.5192,96,2018-01-18,16.29
1,-123.0026,44.5192,96,2018-01-19,10.12
1,-123.0026,44.5192,96,2018-01-20,2.59
1,-123.0026,44.5192,96,2018-01-21,0.52
1,-123.0026,44.5192,96,2018-01-22,6.30
1,-123.0026,44.5192,96,2018-01-23,4.21
1,-123.0026,44.5192,96,2018-01-24,11.60
1,-123.0026,44.5192,96,2018-01-25,7.66
1,-123.0026,44.5192,96,2018-01-26,14.80
1,-123.0026,44.5192,96,2018-01-27,1.90
1,-123.0026,44.5192,96,2018-01-28,2.15
1,-123.0026,44.5192,96,2018-01-29,0.00
1,-123.0026,44.5192,96,2018-01-30,10.67
1,-123.0026,44.5192,96,2018-01-31,1.06
1,-123.0026,44.5192,96,2018-02-01,0.00
1,-123.0026,44.5192,96,2018-02-02,0.29
1,-123.0026,44.5192,96,2018-02-03,0.65
1,-123.0026,44.5192,96,2018-02-04,0.26
1,-123.0026,44.5192,96,2018-02-05,0.00
1,-123.0026,44.5192,96,2018-02-06,0.00
1,-123.0026,44.5192,96,2018-02-07,0.00
1,-123.0026,44.5192,96,2018-02-08,0.00
1,-123.0026,44.5192,96,2018-02-09,0.47
1,-123.0026,44.5192,96,2018-02-10,0.00
1,-123.0026,44.5192,96,2018-02-11,0.00
1,-123.0026,44.5192,96,2018-02-12,0.97
1,-123.0026,44.5192,96,2018-02-13,0.00
1,-123.0026,44.5192,96,2018-02-14,7.16
1,-123.0026,44.5192,96,2018-02-15,2.88
1,-123.0026,44.5192,96,2018-02-16,0.13
1,-123.0026,44.5192,96,2018-02-17,0.49
1,-123.0026,44.5192,96,2018-02-18,8.41
1,-123.0026,44.5192,96,2018-02-19,4.69
1,-123.0026,44.5192,96,2018-02-20,0.01
1,-123.0026,44.5192,96,2018-02-21,4.31
1,-123.0026,44.5192,96,2018-02-22,3.19
1,-123.0026,44.5192,96,2018-02-23,0.00
1,-123.0026,44.5192,96,2018-02-24,5.80
1,-123.0026,44.5192,96,2018-02-25,2.26
1,-123.0026,44.5192,96,2018-02-26,13.54
1,-123.0026,44.5192,96,2018-02-27,0.00
1,-123.0026,44.5192,96,2018-02-28,1.25
1,-123.0026,44.5192,96,2018-03-01,8.62
1,-123.0026,44.5192,96,2018-03-02,2.23
1,-123.0026,44.5192,96,2018-03-03,0.43
1,-123.0026,44.5192,96,2018-03-04,0.84
1,-123.0026,44.5192,96,2018-03-05,0.00
1,-123.0026,44.5192,96,2018-03-06,0.00
1,-123.0026,44.5192,96,2018-03-07,0.00
1,-123.0026,44.5192,96,2018-03-08,0.00
1,-123.0026,44.5192,96,2018-03-09,5.19
1,-123.0026,44.5192,96,2018-03-10,0.35
1,-123.0026,44.5192,96,2018-03-11,0.27
1,-123.0026,44.5192,96,2018-03-12,0.00
1,-123.0026,44.5192,96,2018-03-13,4.00
1,-123.0026,44.5192,96,2018-03-14,16.50
1,-123.0026,44.5192,96,2018-03-15,0.49
1,-123.0026,44.5192,96,2018-03-16,3.21
1,-123.0026,44.5192,96,2018-03-17,1.90
1,-123.0026,44.5192,96,2018-03-18,4.65
1,-123.0026,44.5192,96,2018-03-19,0.00
1,-123.0026,44.5192,96,2018-03-20,0.00
1,-123.0026,44.5192,96,2018-03-21,0.00
1,-123.0026,44.5192,96,2018-03-22,16.49
1,-123.0026,44.5192,96,2018-03-23,21.03
1,-123.0026,44.5192,96,2018-03-24,14.61
1,-123.0026,44.5192,96,2018-03-25,1.63
1,-123.0026,44.5192,96,2018-03-26,0.82
1,-123.0026,44.5192,96,2018-03-27,0.29
1,-123.0026,44.5192,96,2018-03-28,0.00
1,-123.0026,44.5192,96,2018-03-29,0.00
1,-123.0026,44.5192,96,2018-03-30,0.00
1,-123.0026,44.5192,96,2018-03-31,0.00
1,-123.0026,44.5192,96,2018-04-01,0.00
1,-123.0026,44.5192,96,2018-04-02,4.24
1,-123.0026,44.5192,96,2018-04-03,0.09
1,-123.0026,44.5192,96,2018-04-04,1.06
1,-123.0026,44.5192,96,2018-04-05,1.42
1,-123.0026,44.5192,96,2018-04-06,9.49
1,-123.0026,44.5192,96,2018-04-07,6.19
1,-123.0026,44.5192,96,2018-04-08,25.68
1,-123.0026,44.5192,96,2018-04-09,1.24
1,-123.0026,44.5192,96,2018-04-10,1.12
1,-123.0026,44.5192,96,2018-04-11,3.22
1,-123.0026,44.5192,96,2018-04-12,9.95
1,-123.0026,44.5192,96,2018-04-13,7.32
1,-123.0026,44.5192,96,2018-04-14,0.79
1,-123.0026,44.5192,96,2018-04-15,4.74
1,-123.0026,44.5192,96,2018-04-16,15.47
1,-123.0026,44.5192,96,2018-04-17,6.51
1,-123.0026,44.5192,96,2018-04-18,1.87
1,-123.0026,44.5192,96,2018-04-19,0.03
1,-123.0026,44.5192,96,2018-04-20,0.00
1,-123.0026,44.5192,96,2018-04-21,0.08
1,-123.0026,44.5192,96,2018-04-22,0.00
1,-123.0026,44.5192,96,2018-04-23,0.00
1,-123.0026,44.5192,96,2018-04-24,0.00
1,-123.0026,44.5192,96,2018-04-25,0.00
1,-123.0026,44.5192,96,2018-04-26,0.00
1,-123.0026,44.5192,96,2018-04-27,0.03
1,-123.0026,44.5192,96,2018-04-28,5.22
1,-123.0026,44.5192,96,2018-04-29,4.44
1,-123.0026,44.5192,96,2018-04-30,0.88
1,-123.0026,44.5192,96,2018-05-01,0.00
1,-123.0026,44.5192,96,2018-05-02,0.00
1,-123.0026,44.5192,96,2018-05-03,0.00
1,-123.0026,44.5192,96,2018-05-04,0.00
1,-123.0026,44.5192,96,2018-05-05,0.00
1,-123.0026,44.5192,96,2018-05-06,1.17
1,-123.0026,44.5192,96,2018-05-07,0.00
1,-123.0026,44.5192,96,2018-05-08,0.00
1,-123.0026,44.5192,96,2018-05-09,3.24
1,-123.0026,44.5192,96,2018-05-10,0.00
1,-123.0026,44.5192,96,2018-05-11,2.00
1,-123.0026,44.5192,96,2018-05-12,0.00
1,-123.0026,44.5192,96,2018-05-13,0.00
1,-123.0026,44.5192,96,2018-05-14,0.00
1,-123.0026,44.5192,96,2018-05-15,0.00
1,-123.0026,44.5192,96,2018-05-16,0.00
1,-123.0026,44.5192,96,2018-05-17,0.00
1,-123.0026,44.5192,96,2018-05-18,0.00
1,-123.0026,44.5192,96,2018-05-19,0.00
1,-123.0026,44.5192,96,2018-05-20,0.00
1,-123.0026,44.5192,96,2018-05-21,0.00
1,-123.0026,44.5192,96,2018-05-22,0.00
1,-123.0026,44.5192,96,2018-05-23,0.00
1,-123.0026,44.5192,96,2018-05-24,0.00
1,-123.0026,44.5192,96,2018-05-25,0.00
1,-123.0026,44.5192,96,2018-05-26,0.00
1,-123.0026,44.5192,96,2018-05-27,0.00
1,-123.0026,44.5192,96,2018-05-28,0.00
1,-123.0026,44.5192,96,2018-05-29,0.00
1,-123.0026,44.5192,96,2018-05-30,0.00
1,-123.0026,44.5192,96,2018-05-31,0.00
1,-123.0026,44.5192,96,2018-06-01,0.77
1,-123.0026,44.5192,96,2018-06-02,0.00
1,-123.0026,44.5192,96,2018-06-03,0.00
1,-123.0026,44.5192,96,2018-06-04,0.00
1,-123.0026,44.5192,96,2018-06-05,0.00
1,-123.0026,44.5192,96,2018-06-06,0.00
1,-123.0026,44.5192,96,2018-06-07,0.00
1,-123.0026,44.5192,96,2018-06-08,0.00
1,-123.0026,44.5192,96,2018-06-09,12.00
1,-123.0026,44.5192,96,2018-06-10,13.29
1,-123.0026,44.5192,96,2018-06-11,6.32
1,-123.0026,44.5192,96,2018-06-12,0.00
1,-123.0026,44.5192,96,2018-06-13,0.00
1,-123.0026,44.5192,96,2018-06-14,0.47
1,-123.0026,44.5192,96,2018-06-15,0.00
1,-123.0026,44.5192,96,2018-06-16,0.00
1,-123.0026,44.5192,96,2018-06-17,0.00
1,-123.0026,44.5192,96,2018-06-18,1.66
1,-123.0026,44.5192,96,2018-06-19,0.00
1,-123.0026,44.5192,96,2018-06-20,0.00
1,-123.0026,44.5192,96,2018-06-21,0.00
1,-123.0026,44.5192,96,2018-06-22,0.00
1,-123.0026,44.5192,96,2018-06-23,0.00
1,-123.0026,44.5192,96,2018-06-24,0.00
1,-123.0026,44.5192,96,2018-06-25,0.00
1,-123.0026,44.5192,96,2018-06-26,0.00
1,-123.0026,44.5192,96,2018-06-27,0.00
1,-123.0026,44.5192,96,2018-06-28,0.00
1,-123.0026,44.5192,96,2018-06-29,0.00
1,-123.0026,44.5192,96,2018-06-30,0.00

2,-123.1772,44.1985,101,2018-01-01,0.00
2,-123.1772,44.1985,101,2018-01-02,0.00
2,-123.1772,44.1985,101,2018-01-03,0.00
2,-123.1772,44.1985,101,2018-01-04,0.00
2,-123.1772,44.1985,101,2018-01-05,8.19
2,-123.1772,44.1985,101,2018-01-06,3.91
2,-123.1772,44.1985,101,2018-01-07,0.00
2,-123.1772,44.1985,101,2018-01-08,0.00
2,-123.1772,44.1985,101,2018-01-09,12.21
2,-123.1772,44.1985,101,2018-01-10,4.54
2,-123.1772,44.1985,101,2018-01-11,5.04
2,-123.1772,44.1985,101,2018-01-12,11.91
2,-123.1772,44.1985,101,2018-01-13,0.00
2,-123.1772,44.1985,101,2018-01-14,0.00
2,-123.1772,44.1985,101,2018-01-15,0.00
2,-123.1772,44.1985,101,2018-01-16,4.28
2,-123.1772,44.1985,101,2018-01-17,0.00
2,-123.1772,44.1985,101,2018-01-18,16.50
2,-123.1772,44.1985,101,2018-01-19,8.55
2,-123.1772,44.1985,101,2018-01-20,1.77
2,-123.1772,44.1985,101,2018-01-21,0.43
2,-123.1772,44.1985,101,2018-01-22,9.43
2,-123.1772,44.1985,101,2018-01-23,2.38
2,-123.1772,44.1985,101,2018-01-24,13.96
2,-123.1772,44.1985,101,2018-01-25,10.27
2,-123.1772,44.1985,101,2018-01-26,10.62
2,-123.1772,44.1985,101,2018-01-27,2.71
2,-123.1772,44.1985,101,2018-01-28,3.17
2,-123.1772,44.1985,101,2018-01-29,0.00
2,-123.1772,44.1985,101,2018-01-30,7.45
2,-123.1772,44.1985,101,2018-01-31,1.18
2,-123.1772,44.1985,101,2018-02-01,0.00
2,-123.1772,44.1985,101,2018-02-02,0.00
2,-123.1772,44.1985,101,2018-02-03,0.42
2,-123.1772,44.1985,101,2018-02-04,0.00
2,-123.1772,44.1985,101,2018-02-05,0.00
2,-123.1772,44.1985,101,2018-02-06,0.00
2,-123.1772,44.1985,101,2018-02-07,0.00
2,-123.1772,44.1985,101,2018-02-08,0.00
2,-123.1772,44.1985,101,2018-02-09,0.37
2,-123.1772,44.1985,101,2018-02-10,0.00
2,-123.1772,44.1985,101,2018-02-11,0.00
2,-123.1772,44.1985,101,2018-02-12,1.62
2,-123.1772,44.1985,101,2018-02-13,0.00
2,-123.1772,44.1985,101,2018-02-14,5.51
2,-123.1772,44.1985,101,2018-02-15,1.90
2,-123.1772,44.1985,101,2018-02-16,0.25
2,-123.1772,44.1985,101,2018-02-17,0.42
2,-123.1772,44.1985,101,2018-02-18,6.99
2,-123.1772,44.1985,101,2018-02-19,4.24
2,-123.1772,44.1985,101,2018-02-20,0.00
2,-123.1772,44.1985,101,2018-02-21,6.34
2,-123.1772,44.1985,101,2018-02-22,6.31
2,-123.1772,44.1985,101,2018-02-23,0.37
2,-123.1772,44.1985,101,2018-02-24,4.99
2,-123.1772,44.1985,101,2018-02-25,4.66
2,-123.1772,44.1985,101,2018-02-26,19.44
2,-123.1772,44.1985,101,2018-02-27,0.26
2,-123.1772,44.1985,101,2018-02-28,1.75
