Site,Date,Cover,Crop,Growth
L001,1/1/2014,grass,HAYP,emergence
L001,2/22/2014,wheat,WGRN,planted
L001,3/8/2014,wheat,WGRN,emergence
L001,5/20/2014,wheat,WGRN,peak
L001,8/11/2014,bare,BARE,harvest
L001,3/9/2015,tall fescue,BARE,planted
L001,3/23/2015,tall fescue,HAYP,emergence
L001,6/15/2015,tall fescue,HAYP,peak
L001,1/1/2016,tall fescue,HAYP,emergence
L001,5/23/2016,tall fescue,HAYP,peak
L001,7/4/2016,tall fescue,HAYP,grass harvest
L001,1/1/2017,tall fescue,HAYP,emergence
L001,5/5/2017,tall fescue,HAYP,peak
L001,7/1/2017,tall fescue,HAYP,grass harvest
L001,12/31/2017,tall fescue,HAYP,
L002,10/1/2013,annual rye grass,BARE,planted
L002,10/15/2013,annual rye grass,HAYP,emergence
L002,4/25/2014,annual rye grass,HAYP,peak
L002,6/30/2014,annual rye grass,HAYP,grass harvest
L002,10/5/2014,annual rye grass,BARE,planted
L002,10/19/2014,annual rye grass,HAYP,emergence
L002,5/10/2015,annual rye grass,HAYP,peak
L002,7/4/2015,annual rye grass,HAYP,grass harvest
L002,10/7/2015,annual rye grass,BARE,planted
L002,10/21/2015,annual rye grass,HAYP,emergence
L002,4/25/2016,annual rye grass,HAYP,peak
L002,6/27/2016,annual rye grass,HAYP,grass harvest
L002,10/1/2016,annual rye grass,BARE,planted
L002,10/15/2016,annual rye grass,HAYP,emergence
L002,5/20/2017,annual rye grass,HAYP,peak
L002,7/3/2017,annual rye grass,HAYP,grass harvest
L002,12/31/2017,annual rye grass,HAYP,
L003,1/1/2014,bare,BARE,
L003,2/25/2014,wheat,BARE,planted
L003,3/11/2014,wheat,WGRN,emergence
L003,5/20/2014,wheat,WGRN,peak
L003,8/11/2014,bare,BARE,harvest
L003,3/9/2015,peas,BARE,planted
L003,3/23/2015,peas,PEAS,emergence
L003,6/1/2015,peas,PEAS,peak
L003,7/13/2015,bare,BARE,harvest
L003,8/31/2015,spinach,BARE,planted
L003,9/14/2015,spinach,SPNC,emergence
L003,12/20/2015,spinach,SPNC,peak
L003,1/29/2016,bare,BARE,harvest
L003,2/29/2016,beet seed,BARE,planted
L003,3/14/2016,beet seed,BEET,emergence
L003,6/6/2016,beet seed,BEET,peak
L003,9/2/2016,bare,BARE,harvest
L003,10/25/2016,wheat,BARE,planted
L003,11/8/2016,wheat,WGRN,emergence
L003,2/15/2017,wheat,WGRN,peak
L003,3/30/2017,bare,BARE,harvest
L003,9/3/2017,cabbage,BARE,planted
L003,9/17/2017,cabbage,CABBAGE,emergence
L003,12/31/2017,cabbage,CABBAGE,2018 harvest
L005,1/1/2014,bare,BARE,
L005,3/10/2014,perennial rye grass,HAYP,emergence
L005,5/1/2014,perennial rye grass,HAYP,peak
L005,7/7/2014,perennial rye grass,HAYP,grass harvest
L005,1/11/2015,perennial rye grass,HAYP,emergence
L005,5/1/2015,perennial rye grass,HAYP,peak
L005,7/6/2015,perennial rye grass,HAYP,grass harvest
L005,1/11/2016,perennial rye grass,HAYP,emergence
L005,5/20/2016,perennial rye grass,HAYP,peak
L005,7/5/2016,perennial rye grass,HAYP,grass harvest
L005,12/31/2016,perennial rye grass,HAYP,emergence
L005,12/31/2017,perennial rye grass,HAYP,emergence
L007,1/15/2014,blueberries,BLUEBERRIES,emergence
L007,4/17/2014,blueberries,BLUEBERRIES,peak
L007,7/7/2014,blueberries,BLUEBERRIES,harvest
L007,2/10/2015,blueberries,BLUEBERRIES,emergence
L007,5/15/2015,blueberries,BLUEBERRIES,peak
L007,7/15/2015,blueberries,BLUEBERRIES,harvest
L007,2/8/2016,blueberries,BLUEBERRIES,emergence
L007,6/21/2016,blueberries,BLUEBERRIES,peak
L007,7/17/2016,blueberries,BLUEBERRIES,harvest
L007,5/20/2017,blueberries,BLUEBERRIES,peak
L007,7/11/2017,blueberries,BLUEBERRIES,harvest
L007,12/31/2017,blueberries,BLUEBERRIES,emergence
L009,1/1/2014,bare,BARE,
L009,3/20/2014,peppermint,BARE,planted
L009,4/3/2014,peppermint,NMNT,emergence
L009,6/15/2014,peppermint,NMNT,peak
L009,8/15/2014,peppermint,NMNT,ppmt harvest
L009,1/1/2015,peppermint,PPMT,emergence
L009,6/22/2015,peppermint,PPMT,peak
L009,8/10/2015,peppermint,PPMT,ppmt harvest
L009,1/1/2016,peppermint,PPMT,emergence
L009,7/15/2016,peppermint,PPMT,peak
L009,8/22/2016,peppermint,PPMT,ppmt harvest
L009,2/1/2017,peppermint,PPMT,
L009,4/30/2017,bare,BARE,
L009,12/31/2017,bare,BARE,
L010,1/1/2014,bare,BARE,
L010,4/2/2014,squash,SQSH,planted
L010,4/16/2014,squash,SQSH,emergence
L010,7/1/2014,squash,SQSH,peak
L010,9/29/2014,fallow,HAYP,harvest
L010,1/1/2016,conservation,HAYP,
L010,12/31/2017,conservation,Is there one for small trees/shrubs?,
L011,1/1/2014,tall fescue,HAYP,emergence
L011,4/28/2014,tall fescue,HAYP,peak
L011,6/30/2014,tall fescue,HAYP,grass harvest
L011,1/1/2015,tall fescue,HAYP,emergence
