AgriMet is excited to announce a partnership with Washington State University to incorporate AgriMet data into WSU's Irrigation Scheduler. To customize crop consumptive water use specific to your field or fields. http://weather.wsu.edu/is/
                         CRVO - ET SUMMARY - 2015 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 
 02/11 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/12 0.04  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/13 0.02  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/14 0.06  --   --   --   --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/15 0.11  --   --  0.02 0.03  --  0.04  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/16 0.25  --   --  0.04 0.08  --  0.09  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/17 0.10  --   --  0.02 0.03  --  0.04  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/18 0.03  --   --  0.01 0.01  --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/19 0.05  --   --  0.01 0.02  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/20 0.06 0.01 0.01 0.01 0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/21 0.11 0.02 0.02 0.03 0.04  --  0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/22 0.20 0.03 0.03 0.06 0.07  --  0.10  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/23 0.17 0.03 0.03 0.06 0.06  --  0.09  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/24 0.06 0.01 0.01 0.02 0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/25 0.04 0.01 0.01 0.02 0.02  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 02/26 0.03 0.01 0.01 0.01 0.01  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --  0.00  --   --   --   --   --   --   -- 
 02/27 0.03 0.01 0.01 0.01 0.01  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --  0.00  --   --   --   --   --   --   -- 
 02/28 0.13 0.04 0.04 0.07 0.06  --  0.08  --   --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/01 0.09 0.03 0.03 0.05 0.04  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/02 0.06 0.02 0.02 0.03 0.03  --  0.04 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/03 0.09 0.03 0.03 0.05 0.05  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/04 0.09 0.04 0.04 0.05 0.05  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/05 0.07 0.03 0.03 0.04 0.04  --  0.05 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01 0.01  --   --   --   --   --   -- 
 03/06 0.08 0.04 0.04 0.05 0.05  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --   --   --   --   -- 
 03/07 0.10 0.05 0.05 0.07 0.06  --  0.07 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.02  --   --   --   --   --   -- 
 03/08 0.09 0.05 0.05 0.06 0.06  --  0.07 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --   --   --   --   -- 
 03/09 0.09 0.05 0.05 0.06 0.06  --  0.07 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --   --   --   --   -- 
 03/10 0.06 0.04 0.04 0.04 0.04 0.01 0.05 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.01  --   --  0.01
 03/11 0.03 0.02 0.02 0.02 0.02 0.01 0.02 0.01 0.00  --   --   --   --   --   --   --  0.01  --   --   --  0.01 0.01  --   --  0.01  --   --  0.01
 03/12 0.10 0.06 0.06 0.07 0.07 0.02 0.08 0.02 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.03 0.02  --   --  0.02  --   --  0.02
 03/13 0.07 0.04 0.04 0.05 0.05 0.01 0.06 0.02 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.02  --   --  0.02
 03/14 0.02 0.01 0.01 0.02 0.02 0.00 0.02 0.01 0.00  --   --   --   --   --   --   --  0.00  --   --   --  0.01 0.00  --   --  0.00  --   --  0.00
 03/15 0.05 0.03 0.03 0.04 0.04 0.01 0.04 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01 0.01  --  0.01  --  0.01 0.01
 03/16 0.10 0.07 0.07 0.08 0.08 0.02 0.09 0.03 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.04 0.02 0.02  --  0.02  --  0.01 0.03
 03/17 0.06 0.04 0.04 0.05 0.05 0.02 0.05 0.02 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.03 0.01 0.01  --  0.01  --  0.01 0.02
 03/18 0.09 0.07 0.07 0.07 0.07 0.02 0.08 0.03 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.04 0.02 0.02  --  0.02  --  0.01 0.02
 03/19 0.10 0.07 0.07 0.08 0.08 0.03 0.09 0.04 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.05 0.02 0.02  --  0.02  --  0.02 0.03
 03/20 0.07 0.05 0.05 0.06 0.06 0.02 0.07 0.03 0.01 0.02  --   --   --   --   --   --  0.02  --   --   --  0.04 0.02 0.02  --  0.02  --  0.01 0.02
 03/21 0.10 0.08 0.08 0.08 0.09 0.03 0.10 0.05 0.02 0.03  --   --   --   --   --   --  0.02  --   --   --  0.05 0.02 0.02  --  0.02  --  0.02 0.03
 03/22 0.06 0.05 0.05 0.05 0.05 0.02 0.06 0.03 0.01 0.02  --   --   --   --   --   --  0.01  --   --   --  0.03 0.01 0.01  --  0.01  --  0.01 0.02
 03/23 0.06 0.05 0.05 0.05 0.05 0.02 0.06 0.03 0.01 0.02  --   --   --   --   --   --  0.02  --   --   --  0.04 0.02 0.01  --  0.01  --  0.01 0.02
 03/24 0.09 0.08 0.07 0.07 0.08 0.04 0.09 0.05 0.02 0.03  --   --   --   --   --   --  0.02  --   --   --  0.06 0.02 0.02  --  0.02  --  0.02 0.03
 03/25 0.07 0.06 0.06 0.06 0.06 0.03 0.07 0.04 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.05 0.02 0.02  --  0.02  --  0.02 0.02
 03/26 0.10 0.09 0.08 0.08 0.09 0.05 0.10 0.06 0.03 0.03  --   --  0.03  --   --  0.02 0.03  --   --   --  0.07 0.03 0.02  --  0.03  --  0.02 0.03
 03/27 0.12 0.11 0.10 0.10 0.11 0.06 0.12 0.08 0.03 0.04  --   --  0.04  --   --  0.02 0.04  --   --   --  0.08 0.04 0.03  --  0.03  --  0.03 0.04
 03/28 0.11 0.10 0.09 0.09 0.10 0.06 0.11 0.08 0.03 0.03  --   --  0.03  --   --  0.02 0.04  --   --   --  0.08 0.03 0.03  --  0.03  --  0.03 0.04
 03/29 0.11 0.10 0.09 0.09 0.10 0.06 0.11 0.08 0.03 0.03  --   --  0.03  --   --  0.02 0.04  --   --   --  0.08 0.04 0.03  --  0.03  --  0.03 0.04
 03/30 0.12 0.11 0.10 0.10 0.11 0.07 0.12 0.09 0.04 0.04  --   --  0.04  --   --  0.02 0.04  --   --   --  0.09 0.04 0.03  --  0.03  --  0.03 0.05
 03/31 0.07 0.07 0.06 0.06 0.07 0.05 0.07 0.05 0.02 0.02  --   --  0.02  --   --  0.01 0.03  --   --   --  0.06 0.02 0.02  --  0.02  --  0.02 0.03
