                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 
 02/11 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/12 0.01  --   --   --   --   --  0.00  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/13 0.02  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/14 0.03  --   --   --   --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/15 0.06  --   --  0.01  --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/16 0.05  --   --  0.01  --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/17 0.07  --   --  0.01  --   --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/18 0.05  --   --  0.01  --   --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/19 0.03  --   --  0.01  --   --  0.01  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/20 0.05 0.01 0.01 0.01 0.02  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/21 0.04 0.01 0.01 0.01 0.01  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/22 0.06 0.01 0.01 0.02 0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/23 0.09 0.02 0.02 0.03 0.03  --  0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/24 0.06 0.01 0.01 0.02 0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 02/25 0.06 0.01 0.01 0.03 0.02  --  0.03  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 02/26 0.03 0.01 0.01 0.01 0.01  --  0.02  --   --   --   --   --   --   --   --   --   --   --   --   --  0.00  --   --   --   --   --   --   -- 
 02/27 0.08 0.02 0.02 0.04 0.03  --  0.05  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 02/28 0.06 0.02 0.02 0.03 0.02  --  0.04  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 02/29 0.06 0.02 0.02 0.03 0.02  --  0.04  --   --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/01 0.09 0.03 0.03 0.05 0.04  --  0.06 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/02 0.05 0.02 0.02 0.03 0.02  --  0.03 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/03 0.10 0.04 0.04 0.06 0.05  --  0.07 0.02  --   --   --   --   --   --   --   --   --   --   --   --  0.02  --   --   --   --   --   --   -- 
 03/04 0.04 0.02 0.02 0.02 0.02  --  0.03 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01  --   --   --   --   --   --   -- 
 03/05 0.06 0.03 0.03 0.04 0.03  --  0.04 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01 0.01  --   --   --   --   --   -- 
 03/06 0.06 0.03 0.03 0.04 0.03  --  0.04 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01 0.01  --   --   --   --   --   -- 
 03/07 0.07 0.04 0.04 0.05 0.04  --  0.05 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.01  --   --   --   --   --   -- 
 03/08 0.02 0.01 0.01 0.01 0.01  --  0.02 0.00  --   --   --   --   --   --   --   --   --   --   --   --  0.01 0.00  --   --   --   --   --   -- 
 03/09 0.03 0.02 0.02 0.02 0.02  --  0.02 0.01  --   --   --   --   --   --   --   --   --   --   --   --  0.01 0.00  --   --   --   --   --   -- 
 03/10 0.07 0.04 0.04 0.05 0.04 0.01 0.06 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.02  --   --  0.01
 03/11 0.02 0.01 0.01 0.01 0.01 0.00 0.02 0.00 0.00  --   --   --   --   --   --   --  0.00  --   --   --  0.01 0.00  --   --  0.00  --   --  0.00
 03/12 0.05 0.03 0.03 0.04 0.03 0.01 0.04 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.01  --   --  0.01
 03/13 0.08 0.05 0.05 0.06 0.06 0.02 0.07 0.02 0.01  --   --   --   --   --   --   --  0.02  --   --   --  0.03 0.01  --   --  0.02  --   --  0.02
 03/14 0.06 0.04 0.04 0.05 0.04 0.01 0.05 0.02 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01  --   --  0.01  --   --  0.01
 03/15 0.03 0.02 0.02 0.02 0.02 0.01 0.03 0.01 0.00  --   --   --   --   --   --   --  0.01  --   --   --  0.01 0.01 0.01  --  0.01  --   --  0.01
 03/16 0.04 0.03 0.03 0.03 0.03 0.01 0.04 0.01 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02 0.01 0.01  --  0.01  --   --  0.01
 03/17 0.17 0.12 0.12 0.13 0.13 0.04 0.16 0.05 0.03  --   --   --   --   --   --   --  0.04  --   --   --  0.08 0.03 0.04  --  0.04  --   --  0.04
 03/18 0.19 0.14 0.14 0.15 0.15 0.05 0.18 0.06 0.03  --   --   --   --   --   --   --  0.04  --   --   --  0.09 0.04 0.04  --  0.04  --   --  0.05
 03/19 0.11 0.08 0.08 0.09 0.09 0.03 0.10 0.04 0.02  --   --   --   --   --   --   --  0.02  --   --   --  0.06 0.02 0.02  --  0.03  --   --  0.03
 03/20 0.06 0.05 0.05 0.05 0.05 0.02 0.06 0.02 0.01 0.02  --   --   --   --   --   --  0.01  --   --   --  0.03 0.01 0.01  --  0.01  --   --  0.02
 03/21 0.04 0.03 0.03 0.03 0.03 0.01 0.04 0.02 0.01 0.01  --   --   --   --   --   --  0.01  --   --   --  0.02 0.01 0.01  --  0.01  --   --  0.01
 03/22 0.08 0.06 0.06 0.06 0.07 0.03 0.08 0.04 0.02 0.02  --   --   --   --   --   --  0.02  --   --   --  0.05 0.02 0.02  --  0.02  --   --  0.02
 03/23 0.05 0.04 0.04 0.04 0.04 0.02 0.05 0.03 0.01 0.02  --   --   --   --   --   --  0.01  --   --   --  0.03 0.01 0.01  --  0.01  --   --  0.02
 03/24 0.10 0.08 0.08 0.08 0.09 0.04 0.10 0.06 0.02 0.03  --   --   --   --   --   --  0.03  --   --   --  0.06 0.03 0.02  --  0.02  --   --  0.03
 03/25 0.07 0.06 0.06 0.06 0.06 0.03 0.07 0.04 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.05 0.02 0.02  --  0.02  --   --  0.02
 03/26 0.06 0.05 0.05 0.05 0.05 0.03 0.06 0.04 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.02  --   --  0.02
 03/27 0.09 0.08 0.08 0.07 0.08 0.05 0.09 0.06 0.03 0.03  --   --  0.03  --   --  0.01 0.03  --   --   --  0.06 0.03 0.02  --  0.02  --   --  0.03
 03/28 0.09 0.08 0.08 0.07 0.08 0.05 0.09 0.06 0.03 0.03  --   --  0.03  --   --  0.02 0.03  --   --   --  0.07 0.03 0.02  --  0.02  --   --  0.03
 03/29 0.15 0.14 0.13 0.12 0.14 0.09 0.15 0.11 0.05 0.05  --   --  0.05  --   --  0.03 0.05  --   --   --  0.11 0.05 0.04  --  0.04  --   --  0.06
 03/30 0.16 0.15 0.14 0.13 0.15 0.10 0.16 0.12 0.05 0.05  --   --  0.05  --   --  0.03 0.06  --   --   --  0.13 0.05 0.04  --  0.04  --   --  0.06
 03/31 0.15 0.15 0.13 0.12 0.14 0.10 0.15 0.12 0.05 0.05  --   --  0.05  --   --  0.03 0.06  --   --   --  0.12 0.05 0.04  --  0.04  --   --  0.06
 04/01 0.14 0.14 0.12 0.11 0.13 0.10 0.14 0.11 0.05 0.05  --   --  0.04  --   --  0.03 0.06 0.02 0.02 0.02 0.12 0.05 0.04  --  0.04  --   --  0.06
