PRISM Time Series Data
Locations: 10
Climate variable: ppt
Spatial resolution: 4km
Period: 2016-07-01 - 2016-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2017-Oct-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm)
L001,-123.2046,44.2593,95.0,2016-07-01,0.00
L001,-123.2046,44.2593,95.0,2016-07-02,0.00
L001,-123.2046,44.2593,95.0,2016-07-03,0.00
L001,-123.2046,44.2593,95.0,2016-07-04,0.00
L001,-123.2046,44.2593,95.0,2016-07-05,0.00
L001,-123.2046,44.2593,95.0,2016-07-06,0.00
L001,-123.2046,44.2593,95.0,2016-07-07,0.00
L001,-123.2046,44.2593,95.0,2016-07-08,2.87
L001,-123.2046,44.2593,95.0,2016-07-09,2.54
L001,-123.2046,44.2593,95.0,2016-07-10,2.62
L001,-123.2046,44.2593,95.0,2016-07-11,5.95
L001,-123.2046,44.2593,95.0,2016-07-12,0.01
L001,-123.2046,44.2593,95.0,2016-07-13,0.00
L001,-123.2046,44.2593,95.0,2016-07-14,0.00
L001,-123.2046,44.2593,95.0,2016-07-15,0.00
L001,-123.2046,44.2593,95.0,2016-07-16,0.00
L001,-123.2046,44.2593,95.0,2016-07-17,0.00
L001,-123.2046,44.2593,95.0,2016-07-18,0.00
L001,-123.2046,44.2593,95.0,2016-07-19,0.00
L001,-123.2046,44.2593,95.0,2016-07-20,0.00
L001,-123.2046,44.2593,95.0,2016-07-21,0.00
L001,-123.2046,44.2593,95.0,2016-07-22,0.00
L001,-123.2046,44.2593,95.0,2016-07-23,0.00
L001,-123.2046,44.2593,95.0,2016-07-24,0.00
L001,-123.2046,44.2593,95.0,2016-07-25,0.00
L001,-123.2046,44.2593,95.0,2016-07-26,0.00
L001,-123.2046,44.2593,95.0,2016-07-27,0.00
L001,-123.2046,44.2593,95.0,2016-07-28,0.00
L001,-123.2046,44.2593,95.0,2016-07-29,0.00
L001,-123.2046,44.2593,95.0,2016-07-30,0.00
L001,-123.2046,44.2593,95.0,2016-07-31,0.00
L001,-123.2046,44.2593,95.0,2016-08-01,0.00
L001,-123.2046,44.2593,95.0,2016-08-02,0.00
L001,-123.2046,44.2593,95.0,2016-08-03,0.00
L001,-123.2046,44.2593,95.0,2016-08-04,0.00
L001,-123.2046,44.2593,95.0,2016-08-05,0.00
L001,-123.2046,44.2593,95.0,2016-08-06,0.00
L001,-123.2046,44.2593,95.0,2016-08-07,0.00
L001,-123.2046,44.2593,95.0,2016-08-08,0.00
L001,-123.2046,44.2593,95.0,2016-08-09,0.00
L001,-123.2046,44.2593,95.0,2016-08-10,0.00
L001,-123.2046,44.2593,95.0,2016-08-11,0.00
L001,-123.2046,44.2593,95.0,2016-08-12,0.00
L001,-123.2046,44.2593,95.0,2016-08-13,0.00
L001,-123.2046,44.2593,95.0,2016-08-14,0.00
L001,-123.2046,44.2593,95.0,2016-08-15,0.00
L001,-123.2046,44.2593,95.0,2016-08-16,0.00
L001,-123.2046,44.2593,95.0,2016-08-17,0.00
L001,-123.2046,44.2593,95.0,2016-08-18,0.00
L001,-123.2046,44.2593,95.0,2016-08-19,0.00
L001,-123.2046,44.2593,95.0,2016-08-20,0.00
L001,-123.2046,44.2593,95.0,2016-08-21,0.00
L001,-123.2046,44.2593,95.0,2016-08-22,0.00
L001,-123.2046,44.2593,95.0,2016-08-23,0.00
L001,-123.2046,44.2593,95.0,2016-08-24,0.00
L001,-123.2046,44.2593,95.0,2016-08-25,0.00
L001,-123.2046,44.2593,95.0,2016-08-26,0.00
L001,-123.2046,44.2593,95.0,2016-08-27,0.00
L001,-123.2046,44.2593,95.0,2016-08-28,0.00
L001,-123.2046,44.2593,95.0,2016-08-29,0.00
L001,-123.2046,44.2593,95.0,2016-08-30,0.00
L001,-123.2046,44.2593,95.0,2016-08-31,0.00
L001,-123.2046,44.2593,95.0,2016-09-01,0.37
L001,-123.2046,44.2593,95.0,2016-09-02,1.35
