PRISM Time Series Data
Locations: 10
Climate variable: ppt
Spatial resolution: 4km
Period: 2017-01-01 - 2017-06-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2018-Aug-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm)
L001,-123.2046,44.2593,95.0,2017-01-01,4.53
L001,-123.2046,44.2593,95.0,2017-01-02,4.86
L001,-123.2046,44.2593,95.0,2017-01-03,0.97
L001,-123.2046,44.2593,95.0,2017-01-04,1.39
L001,-123.2046,44.2593,95.0,2017-01-05,1.05
L001,-123.2046,44.2593,95.0,2017-01-06,0.02
L001,-123.2046,44.2593,95.0,2017-01-07,0.52
L001,-123.2046,44.2593,95.0,2017-01-08,17.78
L001,-123.2046,44.2593,95.0,2017-01-09,21.99
L001,-123.2046,44.2593,95.0,2017-01-10,14.60
L001,-123.2046,44.2593,95.0,2017-01-11,18.17
L001,-123.2046,44.2593,95.0,2017-01-12,4.07
L001,-123.2046,44.2593,95.0,2017-01-13,0.31
L001,-123.2046,44.2593,95.0,2017-01-14,0.00
L001,-123.2046,44.2593,95.0,2017-01-15,0.00
L001,-123.2046,44.2593,95.0,2017-01-16,0.00
L001,-123.2046,44.2593,95.0,2017-01-17,0.09
L001,-123.2046,44.2593,95.0,2017-01-18,18.03
L001,-123.2046,44.2593,95.0,2017-01-19,8.70
L001,-123.2046,44.2593,95.0,2017-01-20,2.24
L001,-123.2046,44.2593,95.0,2017-01-21,3.82
L001,-123.2046,44.2593,95.0,2017-01-22,11.33
L001,-123.2046,44.2593,95.0,2017-01-23,0.97
L001,-123.2046,44.2593,95.0,2017-01-24,0.00
L001,-123.2046,44.2593,95.0,2017-01-25,0.00
L001,-123.2046,44.2593,95.0,2017-01-26,0.64
L001,-123.2046,44.2593,95.0,2017-01-27,0.00
L001,-123.2046,44.2593,95.0,2017-01-28,0.00
L001,-123.2046,44.2593,95.0,2017-01-29,0.00
L001,-123.2046,44.2593,95.0,2017-01-30,0.00
L001,-123.2046,44.2593,95.0,2017-01-31,0.95
L001,-123.2046,44.2593,95.0,2017-02-01,0.55
L001,-123.2046,44.2593,95.0,2017-02-02,0.03
L001,-123.2046,44.2593,95.0,2017-02-03,3.90
L001,-123.2046,44.2593,95.0,2017-02-04,15.50
L001,-123.2046,44.2593,95.0,2017-02-05,27.96
L001,-123.2046,44.2593,95.0,2017-02-06,24.55
L001,-123.2046,44.2593,95.0,2017-02-07,18.06
L001,-123.2046,44.2593,95.0,2017-02-08,8.96
L001,-123.2046,44.2593,95.0,2017-02-09,23.81
L001,-123.2046,44.2593,95.0,2017-02-10,14.13
L001,-123.2046,44.2593,95.0,2017-02-11,7.96
L001,-123.2046,44.2593,95.0,2017-02-12,1.73
L001,-123.2046,44.2593,95.0,2017-02-13,0.00
L001,-123.2046,44.2593,95.0,2017-02-14,0.00
L001,-123.2046,44.2593,95.0,2017-02-15,1.58
