field,total_flux,total_n,,,,,,,,,,,,,
1,0.082025583,0,,,,,,,,,,,,,
1,0.341253263,183.4125,,,,,,,,,,,,,
1,0.098046971,45.853125,,,,,,,,,,,,,                                           
1,0.115771599,91.70625,,,,,,,,,,,,,
1,0.359108531,137.559375,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
2,0.214129213,179.91,,,,,,,,,,,,,
2,0.039426848,44.9775,,,,,,,,,,,,,
2,0.175787171,89.955,,,,,,,,,,,,,
2,0.233870861,134.9325,,,,,,,,,,,,,
3,0.065693685,0,,,,,,,,,,,,,
3,0.580936258,214.0785,,,,,,,,,,,,,
3,0.145575221,53.519625,,,,,,,,,,,,,
3,0.113097151,107.03925,,,,,,,,,,,,,
3,0.515188169,160.558875,,,,,,,,,,,,,
4,0.122186992,0,,,,,,,,,,,,,
4,0.556712388,214.0785,,,,,,,,,,,,,
4,0.088953247,53.519625,,,,,,,,,,,,,
4,0.050693937,107.03925,,,,,,,,,,,,,
4,0.239031004,160.558875,,,,,,,,,,,,,
